p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.2817736728969096e-11	1.453730942857839	0.597	0.231	3.490269711298285e-7	14	LARP1B
1.3904104977406498e-11	0.9671066994795874	0.903	0.578	3.78608778534779e-7	14	CAMTA1
1.4353437137788492e-11	1.2884736840907955	0.823	0.435	3.908440932619806e-7	14	UBE3C
1.675051441279448e-11	0.937506644812636	0.984	0.678	4.561165074603937e-7	14	TNPO1
1.8426025590654935e-11	1.0058975907966627	0.887	0.5	5.01740676833534e-7	14	ANKRD36
1.865226206652989e-11	1.5556537824885817	0.694	0.34	5.079010960716089e-7	14	CSNK1G1
1.8683401182118393e-11	1.7923101168824809	0.387	0.112	5.087490141890838e-7	14	NPIPB4
1.898836957204854e-11	1.290041248532499	0.742	0.352	5.170533034468817e-7	14	JAML
2.049387644910074e-11	1.2946909250912657	0.79	0.416	5.580482557090132e-7	14	MIDEAS
2.1172343950029504e-11	1.976525785990296	0.339	0.089	5.765229257593034e-7	14	ENSG00000291299
2.232429410296885e-11	1.971514937249448	0.339	0.091	6.078905284238417e-7	14	HDGFL3
2.2755632418611366e-11	1.312698794539775	0.71	0.341	6.196358707587875e-7	14	USF2
2.30584139684206e-11	1.728817453215692	0.387	0.113	6.278806123600929e-7	14	MRNIP
2.3456032968426115e-11	1.366074028319739	0.645	0.275	6.387077777302432e-7	14	FAM169A
2.3513329113011568e-11	1.2507697360530383	0.806	0.543	6.402679517473051e-7	14	NFX1
2.4177031808662788e-11	0.935375587417634	1	0.923	6.583405761498879e-7	14	RANBP2
2.48503917537846e-11	1.4064912035005164	0.71	0.338	6.766761674555546e-7	14	MARCKSL1
2.5752479463144197e-11	1.0224551145521257	0.968	0.768	7.012400157814165e-7	14	B4GALT1
2.589110611055347e-11	2.032980707824932	0.274	0.064	7.05014819390371e-7	14	CTPS2
2.7170095756670672e-11	1.8268603773684648	0.387	0.115	7.398417074541424e-7	14	ZNF197
2.8500916197117364e-11	2.2654618953447696	0.274	0.065	7.760799480475058e-7	14	RPS6KA4
2.945417559372588e-11	1.2124485462770072	0.887	0.547	8.020372014171557e-7	14	ADPGK
3.299986923371044e-11	1.285682600726772	0.71	0.318	8.985864392339353e-7	14	LMAN1
3.3488040862095e-11	2.2188486659962265	0.258	0.059	9.118793526748468e-7	14	NIPSNAP3B
3.460958854057089e-11	1.0021549436166968	0.871	0.473	9.424190959597454e-7	14	UBXN2A
3.540481286929685e-11	1.35829856935592	0.387	0.109	9.64073054430953e-7	14	CHST12
3.6993699416190874e-11	0.8912870149144707	0.548	0.191	1.0073384351028775e-6	14	HLA-DRB5
3.8706378310195584e-11	1.0079437008035703	0.984	0.802	1.0539746813866258e-6	14	STAG1
4.093391932846331e-11	2.0037365308267305	0.29	0.073	1.114630623314056e-6	14	INAFM2
4.1752077916177894e-11	1.5582522843379611	0.339	0.088	1.1369090816575242e-6	14	FRMD8
4.378915670713957e-11	1.8285642700025209	0.758	0.485	1.1923787371354106e-6	14	SPCS1
4.5494485328250574e-11	1.5678435834076332	0.613	0.262	1.238814835488263e-6	14	KLHL6
4.5652585237439705e-11	0.8438891358749527	0.984	0.876	1.243119896015483e-6	14	TNRC6B
4.703242891727368e-11	1.8507496564748087	0.274	0.064	1.2806930394173625e-6	14	ATP13A2
4.7380033895248997e-11	1.3483148152303257	0.694	0.307	1.2901583229676305e-6	14	SLFN11
4.798848298642787e-11	1.548754925588742	0.565	0.218	1.306726391720431e-6	14	ZFYVE26
4.9818593531834745e-11	1.0637452834958825	0.774	0.349	1.35656030187186e-6	14	ATF3
5.088316146198356e-11	1.2553093238665318	0.726	0.363	1.3855484866098123e-6	14	SEC16A
5.133247693468935e-11	1.5292373900208671	0.371	0.104	1.397783346931591e-6	14	PLPP1
5.371171650310947e-11	1.4107286058051336	0.726	0.365	1.462570040379671e-6	14	CTDP1
5.543032762340311e-11	0.904453943609926	1	0.655	1.5093678211852666e-6	14	RNF138
5.570052122837129e-11	1.0615052979224346	0.887	0.551	1.5167251930485505e-6	14	MAP4K5
5.735660821578303e-11	1.2786764035499656	0.839	0.533	1.561820441715772e-6	14	GBF1
5.7422840848926705e-11	1.1950047821739214	0.871	0.535	1.563623956316274e-6	14	VEZT
6.137124446536482e-11	1.568526809371254	0.629	0.293	1.671138986791884e-6	14	PHF14
6.30576111588772e-11	1.48089521678076	0.661	0.306	1.717058751856226e-6	14	VWA8
6.555557946497689e-11	1.452704791155425	0.532	0.202	1.785078428831321e-6	14	TEX14
6.87063386674217e-11	0.6866663653119267	1	0.929	1.8708736019138929e-6	14	GLS
6.990659542942309e-11	1.7689932984189174	0.258	0.058	1.9035565935431904e-6	14	CENPE
7.015489358181661e-11	0.8912601966637372	0.952	0.765	1.9103177522328665e-6	14	TRAM1
7.263050921557954e-11	1.9549853963860016	0.29	0.072	1.977728765940231e-6	14	ABCB8
7.502465388976287e-11	0.683273333053315	1	0.801	2.042921325418243e-6	14	TAOK3
7.796508291432366e-11	1.5425120961464576	0.516	0.186	2.1229892077570333e-6	14	MCCC1
7.833870442755689e-11	1.6982744522988678	0.419	0.135	2.1331629215623742e-6	14	TTTY14
8.556680153938198e-11	1.5593456191147004	0.581	0.253	2.329984005917371e-6	14	NUP93
8.657603991965877e-11	1.6546652051317094	0.371	0.111	2.357465567012308e-6	14	TJP2
9.054397584398683e-11	0.968727096895342	0.968	0.839	2.465512462231762e-6	14	AP3B1
9.545317515796095e-11	0.909197436359152	0.935	0.636	2.5991899595512767e-6	14	MTREX
9.627471229504488e-11	0.9647709903963596	1	0.768	2.621560415794072e-6	14	TCF12
9.773279339486707e-11	1.575356976358974	0.484	0.175	2.6612639641422308e-6	14	SLC38A9
1.0386728779503043e-10	1.810752432055289	0.419	0.138	2.8283062466586787e-6	14	TMED3
1.0817762942794435e-10	1.6668558510400755	0.419	0.137	2.9456768493229247e-6	14	NARS2
1.1076377001731919e-10	0.7537617334423112	1	0.898	3.0160974575716018e-6	14	GOLGA4
1.1208494873935859e-10	1.3892931006268707	0.758	0.401	3.0520731541727344e-6	14	HMBOX1
1.1476334205822023e-10	1.2113023505970368	0.71	0.321	3.1250058042453368e-6	14	LIME1
1.2002054698772208e-10	1.6063621371253969	0.468	0.168	3.2681594944756735e-6	14	DDAH2
1.2071118179900975e-10	1.0312466893945476	0.774	0.366	3.286965480387036e-6	14	ANAPC10
1.4150482589269132e-10	0.9031620102699568	0.79	0.369	3.853176409057985e-6	14	MAML3
1.504117352716327e-10	1.6624172335752203	0.435	0.141	4.095711551446558e-6	14	PGM3
1.6572117517803446e-10	1.0528444049395431	0.694	0.287	4.512587600097879e-6	14	RIOK1
1.7094836832182755e-10	1.3852259787951078	0.516	0.186	4.654924069403364e-6	14	PFKL
1.7461175061949807e-10	1.1240833569945683	0.726	0.313	4.754677969368932e-6	14	CXXC5
1.7641561475407228e-10	0.8172787613713255	0.984	0.641	4.803797189753389e-6	14	RASGEF1B
1.7998355240950017e-10	1.3849876597107516	0.726	0.421	4.900952132110692e-6	14	ARPC5L
1.9074162723404723e-10	1.029452261708145	0.694	0.293	5.193894509583106e-6	14	GRN
1.9778869725522822e-10	1.029213712340152	0.952	0.724	5.385786226259865e-6	14	CLASP2
1.9848443817793406e-10	0.6724063183939755	0.984	0.844	5.404731251585146e-6	14	VPS13C
2.0147818569700872e-10	1.382203391754209	0.468	0.158	5.486250996529548e-6	14	HSD17B4
2.0209452819356063e-10	1.9525443971847705	0.339	0.095	5.5030340027106555e-6	14	EPM2A
2.0581738877961714e-10	1.37157185340303	0.871	0.557	5.604407496468977e-6	14	DOP1A
2.0784997657988336e-10	1.262394964917339	0.71	0.344	5.659754862270224e-6	14	FTO
2.1522611950805222e-10	1.461805159045252	0.677	0.331	5.860607234204263e-6	14	CLEC16A
2.22033919932302e-10	1.5368252090535977	0.452	0.154	6.045983639756584e-6	14	CHERP
2.7107882623394636e-10	1.156137708840943	0.726	0.327	7.381476438350361e-6	14	PCGF3-AS1
2.7452895121276264e-10	1.596266308070765	0.387	0.119	7.475423341523527e-6	14	METTL8
2.83510889098268e-10	1.5065631982611596	0.29	0.074	7.720001510145838e-6	14	RGL1
3.032064641512468e-10	1.303599727501907	0.677	0.336	8.25631201883845e-6	14	ARMCX3
3.0396038985383924e-10	1.2300512975895026	0.758	0.394	8.276841415720042e-6	14	L3MBTL3
3.561337637532794e-10	1.0301133997064091	0.968	0.736	9.697522387001798e-6	14	TPM4
3.672260741345252e-10	1.1767924018801428	0.742	0.407	9.999565998683122e-6	14	HMGN3
3.8283645246630584e-10	1.7507134417464458	0.29	0.074	1.0424636600657513e-5	14	MYCBP
3.9304700045427377e-10	1.5212948659868828	0.726	0.395	1.0702669822369876e-5	14	NFATC1
3.9942368587098135e-10	1.7795201724394512	0.403	0.132	1.0876306966266823e-5	14	IFT74
